pl_name,hostname,st_met,pl_bmassj,pl_bmasse,log_mass,is_giant,planet_type,met_group,pl_orbper,st_teff,st_mass,discoverymethod
11 Com b,11 Com,-0.26,15.464,4914.89848585,1.1893218410204967,1,Gas Giant (Jupiter-like),Metal-poor ([Fe/H] < -0.15),323.21,4874.0,2.09,Radial Velocity
11 UMi b,11 UMi,-0.02,14.74,4684.8142,1.1684974835230326,1,Gas Giant (Jupiter-like),Solar-like (-0.15 <= [Fe/H] <= +0.15),516.21997,4213.0,2.78,Radial Velocity
14 And b,14 And,-0.21,3.559,1131.15130051,0.551327988003846,1,Gas Giant (Jupiter-like),Metal-poor ([Fe/H] < -0.15),186.76,4888.0,1.78,Radial Velocity
14 Her b,14 Her,0.43,8.9,2828.6728223,0.9493900066449128,1,Gas Giant (Jupiter-like),Metal-rich ([Fe/H] > +0.15),,,0.97,Radial Velocity
16 Cyg B b,16 Cyg B,0.06,1.78,565.7374,0.250420002308894,1,Gas Giant (Jupiter-like),Solar-like (-0.15 <= [Fe/H] <= +0.15),798.5,5750.0,1.08,Radial Velocity
17 Sco b,17 Sco,-0.01,4.32,1373.01871824,0.6354837468149122,1,Gas Giant (Jupiter-like),Solar-like (-0.15 <= [Fe/H] <= +0.15),578.38,4157.0,1.22,Radial Velocity
18 Del b,18 Del,-0.06,9.207,2926.24614325,0.964118143151485,1,Gas Giant (Jupiter-like),Solar-like (-0.15 <= [Fe/H] <= +0.15),982.85,4980.0,2.1,Radial Velocity
24 Boo b,24 Boo,-0.78,0.883,280.64248338,-0.05403929642243141,1,Gas Giant (Jupiter-like),Metal-poor ([Fe/H] < -0.15),30.33,4816.0,1.05,Radial Velocity
24 Sex b,24 Sex,-0.03,1.99,632.46,0.29885307640970665,1,Gas Giant (Jupiter-like),Solar-like (-0.15 <= [Fe/H] <= +0.15),452.8,5098.0,1.54,Radial Velocity
24 Sex c,24 Sex,-0.03,0.86,273.32,-0.06550154875643228,1,Gas Giant (Jupiter-like),Solar-like (-0.15 <= [Fe/H] <= +0.15),883.0,5098.0,1.54,Radial Velocity
2M0437 b,2MASS J04372171+2651014,0.01,4.0,1271.313628,0.6020599913279624,1,Gas Giant (Jupiter-like),Solar-like (-0.15 <= [Fe/H] <= +0.15),,3100.0,0.17,Imaging
4 UMa b,4 UMa,-0.25,7.902,2511.48007211,0.8977370253454274,1,Gas Giant (Jupiter-like),Metal-poor ([Fe/H] < -0.15),270.27,4415.0,1.234,Radial Velocity
47 UMa b,47 UMa,0.04,2.53,804.08,0.40312052117581787,1,Gas Giant (Jupiter-like),Solar-like (-0.15 <= [Fe/H] <= +0.15),1078.0,5872.0,1.06,Radial Velocity
47 UMa c,47 UMa,0.04,0.54,171.621,-0.26760624017703144,1,Gas Giant (Jupiter-like),Solar-like (-0.15 <= [Fe/H] <= +0.15),2391.0,5872.0,1.06,Radial Velocity
47 UMa d,47 UMa,0.04,1.64,521.22,0.21484384804769785,1,Gas Giant (Jupiter-like),Solar-like (-0.15 <= [Fe/H] <= +0.15),14002.0,5872.0,1.06,Radial Velocity
55 Cnc B b,55 Cnc B,0.16,0.01101223,3.5,-1.9581247265660566,0,Terrestrial (Earth-like),Metal-rich ([Fe/H] > +0.15),6.7994,3286.0,0.26,Radial Velocity
55 Cnc B c,55 Cnc B,0.16,0.01667566,5.3,-1.777916968284836,0,Terrestrial (Earth-like),Metal-rich ([Fe/H] > +0.15),33.747,3286.0,0.26,Radial Velocity
55 Cnc b,55 Cnc,0.39,0.86839311,276.0,-0.06128363098091903,1,Gas Giant (Jupiter-like),Metal-rich ([Fe/H] > +0.15),14.651552,5198.0,1.015,Radial Velocity
55 Cnc c,55 Cnc,0.39,0.17808352,56.6,-0.749376268657009,1,Gas Giant (Jupiter-like),Metal-rich ([Fe/H] > +0.15),44.3936,5198.0,1.015,Radial Velocity
55 Cnc d,55 Cnc,0.39,3.82,1214.10451474,0.5820633629117087,1,Gas Giant (Jupiter-like),Metal-rich ([Fe/H] > +0.15),4799.0,5198.0,1.015,Radial Velocity
55 Cnc e,55 Cnc,0.35,0.02513923,7.99,-1.5996480286338461,0,Terrestrial (Earth-like),Metal-rich ([Fe/H] > +0.15),0.7365474,5172.0,0.905,Radial Velocity
55 Cnc f,55 Cnc,0.39,0.15259807,48.5,-0.8164509591311422,1,Gas Giant (Jupiter-like),Metal-rich ([Fe/H] > +0.15),260.58,5198.0,1.015,Radial Velocity
6 Lyn b,6 Lyn,-0.17,1.881,597.83523357,0.2743887955503789,1,Gas Giant (Jupiter-like),Metal-poor ([Fe/H] < -0.15),919.86,4941.0,1.32,Radial Velocity
61 Vir b,61 Vir,-0.01,0.016,5.1,-1.7958800173440752,0,Terrestrial (Earth-like),Solar-like (-0.15 <= [Fe/H] <= +0.15),4.215,5577.0,0.942,Radial Velocity
