pl_name,hostname,pl_letter,pl_bmasse,pl_bmassj,pl_rade,pl_orbper,st_met,st_teff,st_mass,st_rad,disc_year,discoverymethod
"11 Com b","11 Com","b",4914.89848585,15.46400000,,323.21000000000,-0.2600,4874.00,2.090000,13.760000,2007,"Radial Velocity"
"11 UMi b","11 UMi","b",4684.81420000,14.74000000,,516.21997000000,-0.0200,4213.00,2.780000,29.790000,2009,"Radial Velocity"
"14 And b","14 And","b",1131.15130051,3.55900000,,186.76000000000,-0.2100,4888.00,1.780000,11.550000,2008,"Radial Velocity"
"14 Her b","14 Her","b",2828.67282230,8.90000000,,,0.4300,,0.970000,,2002,"Radial Velocity"
"16 Cyg B b","16 Cyg B","b",565.73740000,1.78000000,,798.50000000000,0.0600,5750.00,1.080000,1.130000,1996,"Radial Velocity"
"17 Sco b","17 Sco","b",1373.01871824,4.32000000,,578.38000000000,-0.0100,4157.00,1.220000,25.920000,2020,"Radial Velocity"
"18 Del b","18 Del","b",2926.24614325,9.20700000,,982.85000000000,-0.0600,4980.00,2.100000,8.800000,2008,"Radial Velocity"
"24 Boo b","24 Boo","b",280.64248338,0.88300000,,30.33000000000,-0.7800,4816.00,1.050000,12.190000,2018,"Radial Velocity"
"24 Sex b","24 Sex","b",632.46000000,1.99000000,,452.80000000000,-0.0300,5098.00,1.540000,4.900000,2010,"Radial Velocity"
"24 Sex c","24 Sex","c",273.32000000,0.86000000,,883.00000000000,-0.0300,5098.00,1.540000,4.900000,2010,"Radial Velocity"
"2M0437 b","2MASS J04372171+2651014","b",1271.31362800,4.00000000,,,0.0100,3100.00,0.170000,0.840000,2021,"Imaging"
"4 UMa b","4 UMa","b",2511.48007211,7.90200000,,270.27000000000,-0.2500,4415.00,1.234000,18.110000,2006,"Radial Velocity"
"47 UMa b","47 UMa","b",804.08000000,2.53000000,,1078.00000000000,0.0400,5872.00,1.060000,1.213340,1996,"Radial Velocity"
"47 UMa c","47 UMa","c",171.62100000,0.54000000,,2391.00000000000,0.0400,5872.00,1.060000,1.213340,2001,"Radial Velocity"
"47 UMa d","47 UMa","d",521.22000000,1.64000000,,14002.00000000000,0.0400,5872.00,1.060000,1.213340,2009,"Radial Velocity"
"55 Cnc B b","55 Cnc B","b",3.50000000,0.01101223,,6.79940000000,0.1600,3286.00,0.260000,0.274000,2025,"Radial Velocity"
"55 Cnc B c","55 Cnc B","c",5.30000000,0.01667566,,33.74700000000,0.1600,3286.00,0.260000,0.274000,2025,"Radial Velocity"
"55 Cnc b","55 Cnc","b",276.00000000,0.86839311,,14.65155200000,0.3900,5198.00,1.015000,0.980000,1996,"Radial Velocity"
"55 Cnc c","55 Cnc","c",56.60000000,0.17808352,,44.39360000000,0.3900,5198.00,1.015000,0.980000,2004,"Radial Velocity"
"55 Cnc d","55 Cnc","d",1214.10451474,3.82000000,,4799.00000000000,0.3900,5198.00,1.015000,0.980000,2002,"Radial Velocity"
"55 Cnc e","55 Cnc","e",7.99000000,0.02513923,1.87500000,0.73654740000,0.3500,5172.00,0.905000,0.943000,2004,"Radial Velocity"
"55 Cnc f","55 Cnc","f",48.50000000,0.15259807,,260.58000000000,0.3900,5198.00,1.015000,0.980000,2007,"Radial Velocity"
"6 Lyn b","6 Lyn","b",597.83523357,1.88100000,,919.86000000000,-0.1700,4941.00,1.320000,4.940000,2008,"Radial Velocity"
"61 Vir b","61 Vir","b",5.10000000,0.01600000,,4.21500000000,-0.0100,5577.00,0.942000,0.963000,2009,"Radial Velocity"
"61 Vir c","61 Vir","c",18.20000000,0.05700000,,38.02100000000,-0.0100,5577.00,0.942000,0.963000,2009,"Radial Velocity"
"61 Vir d","61 Vir","d",22.90000000,0.07200000,,123.01000000000,-0.0100,5577.00,0.942000,0.963000,2009,"Radial Velocity"
"7 CMa b","7 CMa","b",587.98550000,1.85000000,,735.10000000000,0.2100,4826.00,1.340000,4.870000,2011,"Radial Velocity"
"7 CMa c","7 CMa","c",276.51210000,0.87000000,,996.00000000000,0.2100,4826.00,1.340000,4.870000,2019,"Radial Velocity"
"75 Cet b","75 Cet","b",787.89662095,2.47900000,,696.62000000000,0.1000,4809.00,1.920000,10.380000,2012,"Radial Velocity"
"75 Cet c","75 Cet","c",289.85950718,0.91200000,,2051.62000000000,0.1000,4809.00,1.920000,10.380000,2023,"Radial Velocity"
"8 UMi b","8 UMi","b",524.41687155,1.65000000,,93.31000000000,-0.0300,4847.00,1.510000,10.730000,2015,"Radial Velocity"
"81 Cet b","81 Cet","b",1051.05854195,3.30700000,,1005.57000000000,-0.1100,4734.00,1.230000,11.210000,2008,"Radial Velocity"
"91 Aqr b","91 Aqr","b",1017.00000000,3.20000000,,181.40000000000,-0.0300,4665.00,1.400000,11.000000,2013,"Radial Velocity"
"AU Mic b","AU Mic","b",8.99000000,0.02828570,4.79000000,8.46344600000,0.0100,3540.00,0.635000,0.862000,2020,"Transit"
"AU Mic c","AU Mic","c",14.46000000,0.04549625,2.79000000,18.85902300000,0.0100,3540.00,0.635000,0.862000,2021,"Transit"
"AU Mic d","AU Mic","d",1.05300000,0.00331000,,12.73596000000,0.2300,3678.00,0.510000,0.744000,2023,"Transit Timing Variations"
